time	H2	O2	H2O	OH	H	HO2	O	N2
259	0.238012	0.340144	0.000872861	0.0231395	0.496933	0.000945947	0.27364	0.01
260	0.23735	0.33962	0.000880296	0.0232664	0.498108	0.000951315	0.274542	0.01
261	0.236689	0.339096	0.000887751	0.0233933	0.499279	0.000956686	0.275443	0.01
262	0.236031	0.338573	0.000895227	0.0235203	0.500445	0.000962059	0.276344	0.01
263	0.235375	0.338051	0.000902722	0.0236472	0.501607	0.000967434	0.277243	0.01
264	0.234721	0.337529	0.000910238	0.0237742	0.502764	0.000972812	0.27814	0.01
265	0.234069	0.337007	0.000917773	0.0239012	0.503917	0.000978192	0.279037	0.01
266	0.233419	0.336487	0.000925327	0.0240282	0.505067	0.000983573	0.279932	0.01
267	0.232771	0.335966	0.000932901	0.0241553	0.506211	0.000988957	0.280827	0.01
268	0.232126	0.335447	0.000940493	0.0242823	0.507352	0.000994343	0.28172	0.01
269	0.231482	0.334927	0.000948104	0.0244094	0.508488	0.00099973	0.282612	0.01
270	0.230841	0.334409	0.000955734	0.0245365	0.50962	0.00100512	0.283503	0.01
271	0.230201	0.333891	0.000963382	0.0246635	0.510748	0.00101051	0.284392	0.01
272	0.229564	0.333373	0.000971049	0.0247906	0.511872	0.0010159	0.285281	0.01
273	0.228929	0.332856	0.000978733	0.0249177	0.512992	0.00102129	0.286168	0.01
274	0.228296	0.33234	0.000986435	0.0250448	0.514107	0.00102669	0.287054	0.01
275	0.227665	0.331824	0.000994155	0.0251719	0.515219	0.00103209	0.287939	0.01
276	0.227036	0.331309	0.00100189	0.025299	0.516326	0.00103748	0.288823	0.01
277	0.226408	0.330795	0.00100965	0.0254261	0.517429	0.00104288	0.289706	0.01
278	0.225783	0.330281	0.00101742	0.0255532	0.518528	0.00104828	0.290588	0.01
279	0.22516	0.329767	0.00102521	0.0256803	0.519623	0.00105368	0.291468	0.01
280	0.22454	0.329254	0.00103301	0.0258074	0.520714	0.00105908	0.292347	0.01
281	0.223921	0.328742	0.00104083	0.0259345	0.521801	0.00106449	0.293225	0.01
282	0.223304	0.32823	0.00104867	0.0260616	0.522884	0.00106989	0.294102	0.01
283	0.222689	0.327719	0.00105652	0.0261887	0.523962	0.00107529	0.294978	0.01
284	0.222076	0.327208	0.00106439	0.0263157	0.525037	0.0010807	0.295853	0.01
285	0.221465	0.326698	0.00107228	0.0264428	0.526108	0.0010861	0.296726	0.01
286	0.220856	0.326189	0.00108018	0.0265698	0.527175	0.00109151	0.297598	0.01
287	0.220249	0.32568	0.00108809	0.0266968	0.528237	0.00109691	0.298469	0.01
288	0.219644	0.325172	0.00109602	0.0268238	0.529296	0.00110232	0.299339	0.01
289	0.219041	0.324664	0.00110397	0.0269508	0.530351	0.00110773	0.300208	0.01
290	0.21844	0.324157	0.00111193	0.0270777	0.531402	0.00111313	0.301076	0.01
291	0.217841	0.32365	0.0011199	0.0272047	0.532449	0.00111854	0.301942	0.01
292	0.217244	0.323145	0.00112789	0.0273316	0.533492	0.00112395	0.302808	0.01
293	0.216649	0.322639	0.00113589	0.0274585	0.534531	0.00112935	0.303672	0.01
294	0.216056	0.322134	0.00114391	0.0275853	0.535566	0.00113476	0.304535	0.01
295	0.215465	0.32163	0.00115194	0.0277122	0.536598	0.00114017	0.305397	0.01
296	0.214875	0.321126	0.00115998	0.027839	0.537625	0.00114557	0.306258	0.01
297	0.214288	0.320623	0.00116804	0.0279657	0.538649	0.00115098	0.307117	0.01
298	0.213702	0.320121	0.00117611	0.0280925	0.539669	0.00115638	0.307976	0.01
299	0.213119	0.319619	0.00118419	0.0282192	0.540685	0.00116179	0.308833	0.01
300	0.212537	0.319118	0.00119229	0.0283459	0.541697	0.00116719	0.309689	0.01
301	0.211958	0.318617	0.0012004	0.0284725	0.542705	0.0011726	0.310544	0.01
302	0.21138	0.318117	0.00120852	0.0285991	0.54371	0.001178	0.311398	0.01
